0,1,2,3,4,output_0,output_1,output_2,output_3,output_4,exec_time,avg_cpu_util,core_load
8,9,15,13,6,20,19,0,1,2,6618.276311,20.6,0.125
17,4,5,12,0,20,0,1,19,18,6618.276311,20.6,0.125
14,3,11,12,0,0,20,19,18,1,6618.276311,20.6,0.125
18,17,5,3,4,0,20,1,19,2,6618.276311,20.6,0.125
4,13,11,9,10,20,0,1,19,18,6618.276311,20.6,0.125
19,13,4,0,17,0,1,2,20,3,6618.276311,20.6,0.125
3,13,12,7,8,20,0,1,2,19,6618.276311,20.6,0.125
3,14,16,2,12,20,0,1,2,19,6618.276311,20.6,0.125
13,18,7,5,14,0,20,19,18,17,6618.276311,20.6,0.125
7,18,4,0,1,0,20,19,18,17,6618.276311,20.6,0.125
4,2,1,8,18,20,19,0,18,17,6618.276311,20.6,0.125
1,16,14,11,7,20,0,1,19,2,6618.276311,20.6,0.125
0,13,14,8,18,20,0,1,2,3,6618.276311,20.6,0.125
6,0,18,4,1,0,20,1,19,18,6618.276311,20.6,0.125
16,13,8,15,6,20,0,1,2,3,6618.276311,20.6,0.125
11,4,16,3,13,0,1,20,2,3,6618.276311,20.6,0.125
16,3,19,2,5,0,1,20,19,2,6618.276311,20.6,0.125
9,1,15,18,7,0,1,20,19,2,6618.276311,20.6,0.125
17,9,18,13,16,20,0,1,2,3,6618.276311,20.6,0.125
5,19,13,15,10,20,19,0,1,2,6618.276311,20.6,0.125
12,7,6,9,17,0,20,19,1,18,6618.276311,20.6,0.125
9,6,15,16,13,20,19,0,18,17,6618.276311,20.6,0.125
16,11,18,9,10,20,19,18,0,1,6618.276311,20.6,0.125
15,17,4,16,6,20,0,19,18,1,6618.276311,20.6,0.125
5,8,6,17,1,0,20,19,1,18,6618.276311,20.6,0.125
11,12,18,6,16,20,0,19,1,18,6618.276311,20.6,0.125
15,19,9,12,11,0,1,20,2,19,6618.276311,20.6,0.125
9,12,0,16,19,20,0,19,1,2,6618.276311,20.6,0.125
17,12,8,19,6,0,20,19,1,18,6618.276311,20.6,0.125
2,9,8,4,6,0,20,19,1,18,6618.276311,20.6,0.125
18,14,9,2,16,20,0,1,19,18,6618.276311,20.6,0.125
16,11,12,5,19,0,1,2,20,3,6618.276311,20.6,0.125
17,18,9,2,0,0,20,19,18,1,6618.276311,20.6,0.125
1,7,9,0,12,0,20,19,1,2,6618.276311,20.6,0.125
4,19,6,15,8,20,0,19,18,17,6618.276311,20.6,0.125
5,19,10,1,0,20,0,1,19,18,6618.276311,20.6,0.125
1,8,10,2,11,0,1,20,19,2,6618.276311,20.6,0.125
9,8,15,19,2,20,19,18,17,0,6618.276311,20.6,0.125
13,16,5,12,8,20,0,19,18,1,6618.276311,20.6,0.125
11,5,4,3,16,20,19,18,0,17,6618.276311,20.6,0.125
14,7,18,5,0,20,19,0,1,2,6618.276311,20.6,0.125
17,1,2,15,9,20,19,0,1,18,6618.276311,20.6,0.125
16,19,10,5,9,0,20,1,2,19,6618.276311,20.6,0.125
7,15,13,3,8,20,0,19,18,17,6618.276311,20.6,0.125
12,3,5,14,6,0,20,1,2,3,6618.276311,20.6,0.125
10,14,13,16,12,20,19,0,1,18,6618.276311,20.6,0.125
15,5,17,2,16,0,20,19,18,1,6618.276311,20.6,0.125
8,1,0,9,13,0,1,2,20,19,6618.276311,20.6,0.125
0,17,2,7,14,0,1,2,20,3,6618.276311,20.6,0.125
3,13,10,1,14,20,0,1,19,2,6618.276311,20.6,0.125
3,9,15,11,19,20,0,1,19,2,6618.276311,20.6,0.125
8,0,17,15,11,20,19,18,17,16,6618.276311,20.6,0.125
9,2,17,3,1,20,0,1,19,2,6618.276311,20.6,0.125
0,7,6,4,10,0,1,20,2,19,6618.276311,20.6,0.125
4,6,9,16,19,0,20,1,2,19,6618.276311,20.6,0.125
12,17,4,14,10,20,0,1,19,18,6618.276311,20.6,0.125
10,14,15,3,19,20,19,18,17,16,6618.276311,20.6,0.125
4,11,18,17,19,20,19,0,1,18,6618.276311,20.6,0.125
2,16,17,19,0,20,19,18,0,17,6618.276311,20.6,0.125
13,0,19,4,1,20,19,0,1,18,6618.276311,20.6,0.125
15,17,13,18,11,20,0,1,19,18,6618.276311,20.6,0.125
1,0,4,2,14,0,1,2,20,3,6618.276311,20.6,0.125
3,2,16,9,11,20,19,18,0,1,6618.276311,20.6,0.125
