0,1,2,3,4,output_0,output_1,output_2,output_3,output_4,exec_time(s),avg_cpu_util(%),core_load(%)
9,11,19,6,18,0,20,1,2,3,43704.78933,17.62,0.0625
15,18,19,10,17,20,0,19,1,2,43704.78933,17.62,0.0625
8,19,6,3,2,0,1,20,19,2,43704.78933,17.62,0.0625
5,11,3,16,7,0,20,1,19,2,43704.78933,17.62,0.0625
5,15,19,3,16,20,0,19,18,1,43704.78933,17.62,0.0625
6,3,12,15,17,0,20,1,19,18,43704.78933,17.62,0.0625
18,3,1,15,5,20,0,1,19,18,43704.78933,17.62,0.0625
13,7,10,14,4,20,0,19,18,17,43704.78933,17.62,0.0625
3,18,9,6,8,20,0,19,1,18,43704.78933,17.62,0.0625
5,18,13,10,9,20,0,1,19,18,43704.78933,17.62,0.0625
8,16,17,19,5,20,19,0,18,1,43704.78933,17.62,0.0625
17,4,3,12,19,0,1,2,3,4,43704.78933,17.62,0.0625
5,3,13,11,0,0,20,19,1,2,43704.78933,17.62,0.0625
14,12,0,11,13,20,0,1,19,2,43704.78933,17.62,0.0625
3,2,0,13,6,0,20,19,18,1,43704.78933,17.62,0.0625
10,13,9,2,8,20,0,1,19,2,43704.78933,17.62,0.0625
8,16,2,0,18,0,20,1,2,3,43704.78933,17.62,0.0625
17,7,19,0,14,20,19,0,18,17,43704.78933,17.62,0.0625
13,7,1,19,6,0,1,20,19,18,43704.78933,17.62,0.0625
4,17,18,5,8,20,0,1,19,18,43704.78933,17.62,0.0625
1,0,10,6,9,20,19,0,18,1,43704.78933,17.62,0.0625
3,18,8,16,14,0,1,2,3,4,43704.78933,17.62,0.0625
8,17,9,2,6,20,0,1,19,18,43704.78933,17.62,0.0625
8,11,2,5,17,20,0,1,19,18,43704.78933,17.62,0.0625
4,16,9,10,14,0,1,2,20,3,43704.78933,17.62,0.0625
15,7,13,0,14,0,20,19,18,1,43704.78933,17.62,0.0625
0,18,4,12,10,20,0,19,1,18,43704.78933,17.62,0.0625
18,4,10,8,16,0,20,19,18,1,43704.78933,17.62,0.0625
9,8,12,1,13,20,19,18,0,1,43704.78933,17.62,0.0625
3,10,5,8,18,0,20,19,1,2,43704.78933,17.62,0.0625
19,7,16,10,15,0,1,20,2,19,43704.78933,17.62,0.0625
16,8,11,1,7,20,19,18,17,16,43704.78933,17.62,0.0625
5,8,7,10,9,0,1,2,20,19,43704.78933,17.62,0.0625
8,7,9,17,12,20,19,18,0,1,43704.78933,17.62,0.0625
4,3,11,19,17,0,1,2,3,4,43704.78933,17.62,0.0625
4,2,1,6,0,20,19,0,18,17,43704.78933,17.62,0.0625
7,3,2,13,19,20,19,0,1,18,43704.78933,17.62,0.0625
5,11,2,0,4,0,20,19,1,2,43704.78933,17.62,0.0625
10,14,4,1,7,20,19,18,0,17,43704.78933,17.62,0.0625
1,16,0,3,13,0,1,20,2,3,43704.78933,17.62,0.0625
12,14,4,19,15,20,0,19,18,17,43704.78933,17.62,0.0625
16,11,14,19,18,0,20,1,2,19,43704.78933,17.62,0.0625
17,11,9,18,13,0,20,19,1,2,43704.78933,17.62,0.0625
12,2,6,5,18,20,0,1,2,19,43704.78933,17.62,0.0625
5,12,15,10,9,20,19,0,1,18,43704.78933,17.62,0.0625
17,15,16,13,0,0,1,20,19,2,43704.78933,17.62,0.0625
1,7,8,11,10,0,20,19,1,2,43704.78933,17.62,0.0625
13,3,15,10,17,0,20,19,1,18,43704.78933,17.62,0.0625
19,7,5,12,14,0,1,20,19,18,43704.78933,17.62,0.0625
11,19,2,0,13,0,1,2,20,3,43704.78933,17.62,0.0625
5,1,3,0,4,0,20,1,2,19,43704.78933,17.62,0.0625
15,1,14,3,9,20,19,18,0,17,43704.78933,17.62,0.0625
6,0,12,19,15,0,1,20,19,2,43704.78933,17.62,0.0625
8,3,4,2,0,20,19,18,17,0,43704.78933,17.62,0.0625
0,10,8,2,18,20,19,0,1,2,43704.78933,17.62,0.0625
5,3,2,12,11,0,1,20,2,3,43704.78933,17.62,0.0625
4,16,0,17,3,20,0,19,18,17,43704.78933,17.62,0.0625
4,6,13,10,9,0,1,20,19,2,43704.78933,17.62,0.0625
1,13,4,18,10,0,20,1,19,18,43704.78933,17.62,0.0625
7,12,14,18,17,20,19,0,1,18,43704.78933,17.62,0.0625
9,16,4,3,10,0,1,20,19,2,43704.78933,17.62,0.0625
16,8,10,3,0,20,0,1,19,18,43704.78933,17.62,0.0625
0,10,2,4,18,0,20,19,18,1,43704.78933,17.62,0.0625
0,12,18,2,17,0,20,19,1,18,43704.78933,17.62,0.0625
18,14,11,3,4,20,19,18,17,16,43704.78933,17.62,0.0625
