0,1,2,3,4,output_0,output_1,output_2,output_3,output_4,exec_time(s),avg_cpu_util(%),core_load(%)
17,13,3,2,7,0,6,3,20,17,1623746.343,16.98,0.03125
2,11,13,12,8,0,3,9,19,17,1623746.343,16.98,0.03125
2,0,1,13,17,14,6,7,20,3,1623746.343,16.98,0.03125
14,12,13,15,3,0,1,2,4,8,1623746.343,16.98,0.03125
2,9,1,18,16,0,13,2,3,7,1623746.343,16.98,0.03125
18,10,16,11,4,14,8,3,20,17,1623746.343,16.98,0.03125
5,12,9,17,8,0,6,3,13,8,1623746.343,16.98,0.03125
18,8,13,0,12,0,13,17,3,8,1623746.343,16.98,0.03125
10,0,17,4,15,0,1,8,19,17,1623746.343,16.98,0.03125
8,1,7,5,3,0,1,2,3,7,1623746.343,16.98,0.03125
18,16,2,6,12,14,9,3,6,19,1623746.343,16.98,0.03125
17,15,7,9,4,0,7,2,6,20,1623746.343,16.98,0.03125
18,13,4,9,3,0,13,17,3,1,1623746.343,16.98,0.03125
6,16,1,19,13,0,3,1,19,8,1623746.343,16.98,0.03125
17,7,1,6,2,15,9,3,20,5,1623746.343,16.98,0.03125
10,19,15,5,13,0,1,9,13,17,1623746.343,16.98,0.03125
18,8,13,6,19,0,2,5,1,3,1623746.343,16.98,0.03125
7,2,17,18,1,0,1,8,2,5,1623746.343,16.98,0.03125
8,4,17,7,13,0,9,1,19,17,1623746.343,16.98,0.03125
2,11,5,7,4,14,9,3,20,0,1623746.343,16.98,0.03125
6,13,11,2,5,0,7,2,6,19,1623746.343,16.98,0.03125
13,0,18,19,11,0,8,3,13,4,1623746.343,16.98,0.03125
16,3,4,11,1,0,1,2,3,4,1623746.343,16.98,0.03125
18,5,10,14,7,19,3,6,7,4,1623746.343,16.98,0.03125
15,16,18,4,8,1,3,4,13,8,1623746.343,16.98,0.03125
16,8,11,3,10,0,7,2,3,19,1623746.343,16.98,0.03125
13,15,6,3,4,14,8,3,20,0,1623746.343,16.98,0.03125
5,15,17,13,9,15,9,3,20,4,1623746.343,16.98,0.03125
6,2,12,0,13,0,6,1,2,8,1623746.343,16.98,0.03125
7,16,4,9,19,0,13,2,3,8,1623746.343,16.98,0.03125
14,2,5,9,11,0,7,3,20,1,1623746.343,16.98,0.03125
8,12,10,17,1,14,9,1,20,0,1623746.343,16.98,0.03125
13,12,5,19,7,0,3,4,2,13,1623746.343,16.98,0.03125
0,17,2,18,6,14,8,5,20,0,1623746.343,16.98,0.03125
9,6,2,10,16,0,3,9,20,18,1623746.343,16.98,0.03125
8,3,6,4,9,0,6,3,2,1,1623746.343,16.98,0.03125
2,17,12,1,9,15,9,1,20,17,1623746.343,16.98,0.03125
1,16,13,3,15,0,3,4,13,9,1623746.343,16.98,0.03125
17,9,1,2,4,0,3,2,6,20,1623746.343,16.98,0.03125
5,4,11,15,0,0,3,4,13,9,1623746.343,16.98,0.03125
1,6,8,16,18,0,7,2,6,19,1623746.343,16.98,0.03125
10,18,14,8,17,0,7,2,3,19,1623746.343,16.98,0.03125
2,12,10,17,18,15,9,3,20,5,1623746.343,16.98,0.03125
13,12,5,16,6,1,3,4,13,8,1623746.343,16.98,0.03125
5,16,10,3,6,0,3,9,20,18,1623746.343,16.98,0.03125
7,8,17,5,19,0,9,1,19,17,1623746.343,16.98,0.03125
13,6,18,17,15,0,1,2,3,4,1623746.343,16.98,0.03125
18,10,12,11,5,0,1,9,13,17,1623746.343,16.98,0.03125
9,10,3,7,14,0,3,9,19,17,1623746.343,16.98,0.03125
18,7,5,19,2,0,6,3,2,1,1623746.343,16.98,0.03125
1,16,13,12,5,0,7,2,6,20,1623746.343,16.98,0.03125
11,17,4,16,5,0,14,2,20,9,1623746.343,16.98,0.03125
10,9,16,0,15,0,2,5,1,3,1623746.343,16.98,0.03125
7,17,9,12,10,19,3,1,7,4,1623746.343,16.98,0.03125
15,14,7,4,11,14,9,3,6,19,1623746.343,16.98,0.03125
15,2,18,8,16,0,7,3,20,1,1623746.343,16.98,0.03125
2,10,11,3,8,15,9,3,20,4,1623746.343,16.98,0.03125
19,3,4,1,7,0,8,2,19,17,1623746.343,16.98,0.03125
2,9,16,8,13,0,13,3,4,1,1623746.343,16.98,0.03125
4,18,12,0,17,0,8,1,20,17,1623746.343,16.98,0.03125
9,2,8,19,17,0,6,1,2,8,1623746.343,16.98,0.03125
3,13,17,0,9,0,1,8,19,17,1623746.343,16.98,0.03125
4,3,2,10,19,0,1,8,2,5,1623746.343,16.98,0.03125
17,18,7,2,10,0,3,1,13,8,1623746.343,16.98,0.03125
16,14,10,15,7,0,13,2,3,7,1623746.343,16.98,0.03125
8,4,1,3,17,14,9,1,20,0,1623746.343,16.98,0.03125
18,14,3,7,15,14,6,9,20,3,1623746.343,16.98,0.03125
11,17,9,2,13,14,7,1,20,0,1623746.343,16.98,0.03125
15,7,9,17,6,0,13,17,3,1,1623746.343,16.98,0.03125
14,11,8,15,7,0,1,2,3,7,1623746.343,16.98,0.03125
18,17,15,8,19,14,8,3,20,0,1623746.343,16.98,0.03125
0,17,14,18,13,0,13,2,3,8,1623746.343,16.98,0.03125
5,3,17,1,11,0,13,3,4,8,1623746.343,16.98,0.03125
4,14,19,3,11,0,8,2,20,17,1623746.343,16.98,0.03125
7,3,2,15,14,0,3,2,4,8,1623746.343,16.98,0.03125
14,3,12,18,8,14,9,3,6,19,1623746.343,16.98,0.03125
13,9,1,10,3,0,6,3,2,1,1623746.343,16.98,0.03125
4,15,0,12,6,15,9,3,20,5,1623746.343,16.98,0.03125
2,11,6,19,4,0,13,17,3,1,1623746.343,16.98,0.03125
16,6,11,4,14,0,8,2,20,17,1623746.343,16.98,0.03125
15,1,9,12,3,0,1,8,2,5,1623746.343,16.98,0.03125
9,14,16,3,13,1,3,4,13,8,1623746.343,16.98,0.03125
19,7,2,11,6,0,1,2,3,7,1623746.343,16.98,0.03125
16,3,1,8,17,0,13,2,3,7,1623746.343,16.98,0.03125
18,13,12,8,0,14,9,1,20,0,1623746.343,16.98,0.03125
1,5,3,17,13,15,9,1,20,4,1623746.343,16.98,0.03125
15,13,17,18,19,0,8,2,19,17,1623746.343,16.98,0.03125
